Flap,V0,Q0,ALFA,CL,CD,CM25,CYAW,CROLL,CY
0.0,0.767857142857153,0.9303952430919935,0.0,0.0007684854154832998,0.3282343790510759,0.48583537809502564,0.058718861209964446,0.5857837181044956,0.7004632012352032
0.0,0.8392857142857082,0.9695697796432299,0.0348918353105373,0.0,0.28493647912885656,0.48449698862368945,0.06761565836298936,0.5603888213851761,0.6851947160747983
0.0,0.8214285714285836,0.9337180832458927,0.07048150732728536,0.003976076714891905,0.22556390977443605,0.46754405532009813,0.11743772241992885,0.5817739975698663,0.6903413964659461
0.0,0.9107142857142918,1.0,0.10572226099092807,0.01764175214674729,0.1540057039149598,0.4369841623912558,0.08896797153024913,0.5889428918590521,0.6658088866014753
0.0,0.8928571428571388,0.9737670514165799,0.14305652477320305,0.04333589495138494,0.10344827586206898,0.44969886236894935,0.10676156583629896,0.5865127582017009,0.6898267284268312
0.0,0.8749999999999858,0.9601259181532029,0.17934403349616188,0.06715894283136756,0.03966813585688356,0.4755743921481151,0.10676156583629896,0.5839611178614822,0.6690684508492022
0.0,0.9107142857142918,0.972717733473246,0.21702721563154218,0.10207491062180495,0.017371013741249663,0.5210796341735444,0.103202846975089,0.5786148238153097,0.6646079945102075
0.0,0.9285714285714164,0.9956278419027669,0.2547103977669225,0.1379932506933075,0.01088929219600726,0.573499888467544,0.10498220640569397,0.5781287970838395,0.6903413964659461
0.0,0.75,0.8548443511717352,0.2920446615491974,0.1737779411273347,0.001814882032667886,0.614989962078965,0.103202846975089,0.5797083839611177,0.6743866872533881
0.0,0.8392857142857082,0.916229450856946,0.32972784368457775,0.21036452938621403,0.0,0.6694178005799687,0.0800711743772242,0.573876063183475,0.6496826213758792
0.0,0.8571428571428612,0.9216509268975202,0.3670621074668527,0.2471181796919376,0.004666839512574544,0.7073388356011598,0.12811387900355875,0.5766707168894287,0.6845084920226453
0.0,0.8214285714285836,0.8871983210912973,0.404745289602233,0.2842393665007184,0.005963183821623003,0.7472674548293553,0.13879003558718864,0.5764277035236937,0.6778178075141533
0.0,0.8214285714285836,0.8761804826862587,0.4424284717376133,0.3199572321160079,0.014259787399533319,0.7742583091679678,0.15836298932384346,0.5696233292831104,0.6680391147709727
0.0,0.8214285714285836,0.8758307100384783,0.4794138171667829,0.35544121086571556,0.025926886180969638,0.8215480704885121,0.17793594306049826,0.5636695018226001,0.6675244467318578
0.0,0.75,0.817943336831064,0.5170969993021632,0.3911590764810051,0.04277936219859996,0.8501003792103501,0.1743772241992883,0.5605103280680436,0.6610053182364041
0.0,0.8392857142857082,0.8847499125568348,0.5551290997906488,0.4274449530555649,0.054964998703655676,0.8842293107294222,0.16725978647686837,0.5650060753341433,0.6661519986275518
0.0,0.7857142857142776,0.8405036726128046,0.5924633635729238,0.46242774566473993,0.07648431423386051,0.893374972116886,0.1814946619217082,0.5718104495747265,0.6716417910447761
